date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,67.8,90.15,36.15,38.9,3414025,723550,0.4456121679629861,-0.3697293110334994,0.0026547137744203603,-0.8439586236774045,1.2045119028958753
2026-04-28 00:00:00+05:30,40.0,41.0,30.9,37.3,894650,706150,0.430192966888067,-0.3741294659689687,0.0028164133702520302,-0.828466600276306,1.1850267336000955
2026-04-29 00:00:00+05:30,34.2,47.75,32.05,44.7,1721875,590150,0.4134217547933758,-0.44714611919109015,0.0031849282009525997,-0.8133125963173635,1.1875703817439027
2026-04-30 00:00:00+05:30,49.85,54.2,42.75,47.2,1273825,519100,0.40867168862629205,-0.4753159072710481,0.003331436904936019,-0.8140495120144455,1.164526083527178
2026-05-04 00:00:00+05:30,42.5,44.6,34.5,37.55,572750,532875,0.4334256328277046,-0.4113601742051176,0.0032767552803721453,-0.9614138857951705,1.0657642064348505
2026-05-05 00:00:00+05:30,38.05,55.5,34.0,47.75,1089675,619150,,,,,
2026-05-06 00:00:00+05:30,44.5,45.2,32.0,35.35,1734925,659750,,,,,
2026-05-07 00:00:00+05:30,27.0,27.0,8.9,9.55,4455125,1009200,,,,,
2026-05-08 00:00:00+05:30,12.95,12.95,5.45,8.1,1684175,859850,,,,,
2026-05-11 00:00:00+05:30,8.0,10.3,5.55,6.5,497350,807650,,,,,
2026-05-12 00:00:00+05:30,6.8,12.5,6.55,11.7,736600,775750,,,,,
2026-05-13 00:00:00+05:30,10.05,22.1,8.0,20.4,1389100,732250,,,,,
2026-05-14 00:00:00+05:30,17.45,28.45,10.4,11.7,1133900,698175,,,,,
2026-05-15 00:00:00+05:30,12.9,17.5,11.65,14.95,608275,690200,,,,,
