date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,38.25,38.25,38.25,38.25,1900,0,,,,,
2026-04-28 00:00:00+05:30,38.25,38.25,38.25,38.25,0,0,,,,,
2026-04-29 00:00:00+05:30,38.25,38.25,38.25,38.25,0,0,,,,,
2026-04-30 00:00:00+05:30,38.25,38.25,38.25,38.25,0,0,0.32029192163402903,0.9611354281980762,0.003558044807404983,-0.07885787977748358,0.062179113427508925
2026-05-04 00:00:00+05:30,38.25,38.25,38.25,38.25,0,0,0.3813308664572791,0.9461464110821609,0.004223337849730088,-0.10422032700116068,0.07432003739127714
2026-05-05 00:00:00+05:30,45.0,45.0,44.2,44.2,3800,3800,,,,,
2026-05-06 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-07 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-08 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-11 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-12 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-13 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-14 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
2026-05-15 00:00:00+05:30,44.2,44.2,44.2,44.2,0,3800,,,,,
