date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.42,4.42,4.42,4.42,0,1900,0.4581603465879503,-0.20440151645570803,0.007846610252758733,-0.16579096252895775,0.22377445620124417
2026-04-28 00:00:00+05:30,4.42,4.42,4.42,4.42,0,1900,0.44524105850276796,-0.2135384986550688,0.008497819748169084,-0.16663935608375322,0.22386293914629407
2026-04-29 00:00:00+05:30,2.4,2.78,2.4,2.69,68400,57000,0.39054831844844506,-0.16282920609930562,0.00827128425306032,-0.1270071217762867,0.18750240969405402
2026-04-30 00:00:00+05:30,3.2,3.47,2.8,3.03,77900,77900,0.3846953835716186,-0.18566530611398746,0.009414645324311535,-0.13650106237791218,0.19760961210754244
2026-05-04 00:00:00+05:30,2.9,2.9,2.75,2.75,9500,81700,0.3998956199980704,-0.17856201533998317,0.00961064509071855,-0.15190275615206938,0.17735658654246414
2026-05-05 00:00:00+05:30,1.8,3.1,1.3,1.35,233700,81700,,,,,
2026-05-06 00:00:00+05:30,1.35,1.45,1.05,1.1,79800,121600,,,,,
2026-05-07 00:00:00+05:30,1.1,1.1,1.1,1.1,0,121600,,,,,
2026-05-08 00:00:00+05:30,1.1,1.1,1.1,1.1,0,121600,,,,,
2026-05-11 00:00:00+05:30,1.3,1.3,1.0,1.0,13300,129200,,,,,
2026-05-12 00:00:00+05:30,1.3,1.45,1.3,1.45,9500,121600,,,,,
2026-05-13 00:00:00+05:30,1.55,1.65,1.25,1.3,68400,100700,,,,,
2026-05-14 00:00:00+05:30,1.3,1.3,1.3,1.3,0,100700,,,,,
2026-05-15 00:00:00+05:30,2.05,2.05,1.25,1.95,167200,171000,,,,,
