date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,3.35,3.35,3.35,3.35,0,0,0.23844184154942588,0.2929804456428904,0.018282909715675463,-0.12556316003435888,0.2713555523636418
2026-04-28 00:00:00+05:30,3.35,3.35,3.35,3.35,0,0,0.2668252284641501,0.27518895544846017,0.016262972046980035,-0.13534686987132813,0.25674753668808753
2026-04-29 00:00:00+05:30,6.1,6.1,6.1,6.1,1900,1900,0.3456097328135023,0.3587038392666251,0.014190588188182985,-0.1990029414020209,0.2846724875110207
2026-04-30 00:00:00+05:30,6.1,6.1,6.1,6.1,1900,3800,0.39520361058205483,0.33440655413919984,0.012471222929306002,-0.21977349917503122,0.26891626678288133
2026-05-04 00:00:00+05:30,6.4,6.4,4.45,4.5,30400,17100,0.3667259357610526,0.2986650267165038,0.013928400701783738,-0.21037808515276693,0.23571705823921485
2026-05-05 00:00:00+05:30,7.95,7.95,2.55,4.85,355300,68400,,,,,
2026-05-06 00:00:00+05:30,4.85,4.95,3.5,4.65,197600,100700,,,,,
2026-05-07 00:00:00+05:30,4.1,4.8,3.95,4.35,62700,121600,,,,,
2026-05-08 00:00:00+05:30,4.95,6.0,4.2,4.4,112100,123500,,,,,
2026-05-11 00:00:00+05:30,2.45,2.85,2.0,2.0,51300,108300,,,,,
2026-05-12 00:00:00+05:30,1.9,1.9,1.35,1.5,47500,96900,,,,,
2026-05-13 00:00:00+05:30,1.5,1.5,1.1,1.1,7600,95000,,,,,
2026-05-14 00:00:00+05:30,1.1,1.1,0.85,0.95,15200,89300,,,,,
2026-05-15 00:00:00+05:30,0.65,0.7,0.4,0.45,55100,74100,,,,,
