date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,54.95,58.55,54.95,57.6,3800,1900,0.5867132988852892,0.6897863594951091,0.003780145040297374,-0.6271071600895591,0.5615228348279075
2026-04-28 00:00:00+05:30,57.6,57.6,57.6,57.6,0,1900,0.6160650250932767,0.6804842801364104,0.0037198819364717374,-0.6711051428581958,0.5573330565530961
2026-04-29 00:00:00+05:30,49.25,49.55,44.25,45.1,48450,17100,0.5496879082007854,0.6419924551484213,0.004534882390530765,-0.6242911678887181,0.559322285207569
2026-04-30 00:00:00+05:30,33.5,34.6,27.45,33.6,380950,76950,0.5360157273479529,0.562161706929434,0.005158647557391054,-0.6264383964067037,0.5616637402990299
2026-05-04 00:00:00+05:30,30.95,33.75,27.3,32.05,169100,97850,0.5509652290397727,0.5632054030842396,0.00544849518018149,-0.695189070529334,0.5169231691790871
2026-05-05 00:00:00+05:30,32.0,39.4,28.25,29.4,335350,133000,,,,,
2026-05-06 00:00:00+05:30,32.95,37.85,27.95,35.9,285000,128250,,,,,
2026-05-07 00:00:00+05:30,32.1,36.05,28.35,29.75,250800,136800,,,,,
2026-05-08 00:00:00+05:30,29.25,29.25,23.4,26.5,283100,166250,,,,,
2026-05-11 00:00:00+05:30,24.2,26.7,15.85,16.45,171000,227050,,,,,
2026-05-12 00:00:00+05:30,17.2,17.2,8.95,9.4,398050,324900,,,,,
2026-05-13 00:00:00+05:30,10.05,13.15,9.0,10.15,361000,321100,,,,,
2026-05-14 00:00:00+05:30,11.0,11.0,4.8,8.3,452200,309700,,,,,
2026-05-15 00:00:00+05:30,6.55,8.1,5.9,6.85,303050,311600,,,,,
