date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,90.45,97.2,87.6,97.05,5250,4200,0.35070342890342665,0.6282863434976884,0.002125459519446349,-1.3439519102770197,1.9182191257944945
2026-04-28 00:00:00+05:30,81.7,81.7,63.25,68.15,87850,16100,0.32304184519815865,0.544796545752097,0.002514710171283681,-1.2747517786247309,1.9345252323675408
2026-04-29 00:00:00+05:30,73.0,119.7,66.55,86.5,46900,20650,0.3400127871991518,0.6113400573537562,0.002315183271498219,-1.354684333101543,1.8663932241024161
2026-04-30 00:00:00+05:30,56.95,71.25,51.45,65.3,82950,29400,0.3125438221179111,0.552200637012902,0.0026864268605338573,-1.281795409704227,1.8631844158070165
2026-05-04 00:00:00+05:30,79.95,90.0,69.35,74.95,19250,23100,0.32395077975798053,0.6115131994883637,0.0026960048378271715,-1.4195243540891929,1.6817948582761568
2026-05-05 00:00:00+05:30,68.95,90.85,63.75,77.95,29050,23100,,,,,
2026-05-06 00:00:00+05:30,78.25,102.5,78.25,101.75,18900,18200,,,,,
2026-05-07 00:00:00+05:30,101.75,101.75,101.75,101.75,0,18200,,,,,
2026-05-08 00:00:00+05:30,84.55,101.2,84.55,95.75,3500,17150,,,,,
2026-05-11 00:00:00+05:30,67.6,82.15,67.6,82.15,1750,17150,,,,,
2026-05-12 00:00:00+05:30,45.0,55.25,26.1,29.55,88200,42350,,,,,
2026-05-13 00:00:00+05:30,38.4,42.7,29.1,30.6,21000,39200,,,,,
2026-05-14 00:00:00+05:30,29.9,42.0,17.75,40.05,282100,30100,,,,,
2026-05-15 00:00:00+05:30,37.95,39.4,22.55,26.25,127050,29050,,,,,
