date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,151.45,151.45,151.45,151.45,0,0,0.8776369309143968,-0.4072067906933906,0.0008717208953533351,-2.821618677406332,1.9687823760889236
2026-04-28 00:00:00+05:30,70.0,70.0,57.0,58.15,23100,13650,0.32642272103468,-0.45529618428936836,0.0024887298638035125,-0.9744494086918776,1.9345760989839145
2026-04-29 00:00:00+05:30,55.8,55.8,29.7,45.85,112350,20300,0.32978213324912836,-0.38638203240603197,0.002382951900647293,-1.0065331723744106,1.8632233678325085
2026-04-30 00:00:00+05:30,74.0,76.0,50.0,52.85,70000,25900,0.31619446445512434,-0.4480154573884536,0.0026556005374499666,-0.9827910213141309,1.8633177170333397
2026-05-04 00:00:00+05:30,40.55,44.4,32.85,38.2,46550,26950,0.3092549788187757,-0.384748752980142,0.0028161820571581423,-1.0494613429999682,1.6770683036924383
2026-05-05 00:00:00+05:30,42.0,44.35,29.05,33.05,77700,21700,,,,,
2026-05-06 00:00:00+05:30,33.4,36.0,18.45,19.05,56700,19250,,,,,
2026-05-07 00:00:00+05:30,17.9,18.2,16.7,17.9,11200,18900,,,,,
2026-05-08 00:00:00+05:30,17.95,17.95,13.95,15.9,10150,16100,,,,,
2026-05-11 00:00:00+05:30,21.0,22.25,17.45,21.25,29050,37450,,,,,
2026-05-12 00:00:00+05:30,21.2,53.9,21.2,48.75,55650,32200,,,,,
2026-05-13 00:00:00+05:30,55.0,55.0,34.35,44.25,20300,32900,,,,,
2026-05-14 00:00:00+05:30,47.65,62.6,32.15,34.35,162750,32900,,,,,
2026-05-15 00:00:00+05:30,43.95,52.0,38.85,42.95,24850,33950,,,,,
