date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,0.5644756387500841,-0.07569074392155106,0.0027918617637165887,-0.12083270395335692,0.12893881725244755
2026-04-28 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,0.5626825702155632,-0.07748837850193713,0.002918959480850679,-0.12409752962346614,0.12821477128518555
2026-04-29 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,0.5809078124907204,-0.07627733323982266,0.0028330012164384973,-0.12971547895519045,0.12493218470231385
2026-04-30 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,0.5790710390101819,-0.07819982457875874,0.002969957445316952,-0.13349854853316276,0.12415730118000401
2026-05-04 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,,,,,
2026-05-05 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,,,,,
2026-05-06 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,,,,,
2026-05-07 00:00:00+05:30,1.85,1.85,1.85,1.85,0,3800,,,,,
2026-05-08 00:00:00+05:30,0.1,0.1,0.1,0.1,1900,3800,,,,,
2026-05-11 00:00:00+05:30,0.1,0.1,0.1,0.1,0,3800,,,,,
2026-05-12 00:00:00+05:30,0.1,0.1,0.1,0.1,0,3800,,,,,
2026-05-13 00:00:00+05:30,0.2,0.3,0.15,0.15,190000,5700,,,,,
2026-05-14 00:00:00+05:30,0.1,0.1,0.05,0.1,7600,3800,,,,,
2026-05-15 00:00:00+05:30,0.1,0.1,0.1,0.1,0,3800,,,,,
