date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,27.0,31.85,27.0,30.3,36100,34200,0.3443590709819494,0.8336583055236051,0.008011244689277669,-0.1762555729891091,0.22571274986995138
2026-04-28 00:00:00+05:30,27.4,27.4,27.1,27.3,5700,36100,0.2860228384395539,0.8621168370127603,0.008716669801809606,-0.14351920379506816,0.19462464789807896
2026-04-29 00:00:00+05:30,27.3,27.3,27.3,27.3,0,36100,0.21499649129412313,0.9359062725278867,0.006695308534169063,-0.09203760658653783,0.10927537958409998
2026-04-30 00:00:00+05:30,25.85,26.3,25.85,26.3,5700,38000,0.27785686455087455,0.8700695161075063,0.008957276023639837,-0.14065030380868193,0.17967484547359092
2026-05-04 00:00:00+05:30,26.3,26.3,26.3,26.3,0,38000,,,,,
2026-05-05 00:00:00+05:30,23.5,23.5,23.35,23.35,7600,32300,,,,,
2026-05-06 00:00:00+05:30,26.0,26.0,26.0,26.0,1900,34200,,,,,
2026-05-07 00:00:00+05:30,26.0,26.0,26.0,26.0,0,34200,,,,,
2026-05-08 00:00:00+05:30,26.0,26.0,26.0,26.0,0,34200,,,,,
2026-05-11 00:00:00+05:30,26.0,26.0,26.0,26.0,0,34200,,,,,
2026-05-12 00:00:00+05:30,16.85,17.9,16.4,16.8,13300,39900,,,,,
2026-05-13 00:00:00+05:30,9.15,11.35,7.9,11.15,186200,64600,,,,,
2026-05-14 00:00:00+05:30,14.5,14.65,10.6,11.8,184300,100700,,,,,
2026-05-15 00:00:00+05:30,13.75,15.65,12.9,13.3,102600,123500,,,,,
