date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,7.4,7.4,7.4,7.4,0,0,0.14947405299094793,0.22182107209690466,0.005025194890662222,-0.35783898458176316,1.1782523676223149
2026-04-28 00:00:00+05:30,7.4,7.4,7.4,7.4,0,0,0.15735438420158418,0.21649219450793972,0.004799119994615717,-0.37298874590214676,1.1396547177421248
2026-04-29 00:00:00+05:30,40.0,59.2,40.0,49.4,85500,31950,0.3739830131095564,0.4678862784824357,0.002726806606121448,-1.184532021736658,1.5505782362863527
2026-04-30 00:00:00+05:30,40.0,44.55,36.7,41.25,20250,33750,0.38429966609480626,0.4156865743893419,0.0026883220416860543,-1.1853922073552323,1.4722320869116101
2026-05-04 00:00:00+05:30,57.0,69.0,50.05,54.55,97650,66150,0.3827173791153487,0.5190527266839176,0.0029159995565813494,-1.362345615275227,1.4228633258430465
2026-05-05 00:00:00+05:30,59.0,65.0,38.55,40.85,91800,49950,,,,,
2026-05-06 00:00:00+05:30,40.85,54.35,39.4,50.4,85050,43200,,,,,
2026-05-07 00:00:00+05:30,69.65,69.65,39.65,63.2,104400,36900,,,,,
2026-05-08 00:00:00+05:30,63.65,71.45,63.65,68.45,7200,35100,,,,,
2026-05-11 00:00:00+05:30,47.0,53.8,37.0,39.1,47250,31500,,,,,
2026-05-12 00:00:00+05:30,32.2,32.2,12.6,14.6,145800,61200,,,,,
2026-05-13 00:00:00+05:30,12.85,17.0,8.9,9.75,111150,83700,,,,,
2026-05-14 00:00:00+05:30,7.2,14.5,5.95,8.55,138600,103950,,,,,
2026-05-15 00:00:00+05:30,7.0,7.0,5.0,5.35,36900,103500,,,,,
