date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,27.8,27.8,13.9,17.0,130175,53975,0.3385133474745266,0.6429974721056744,0.012498273782186093,-0.22475087456918655,0.32890043932589613
2026-04-28 00:00:00+05:30,20.0,25.9,20.0,25.9,19050,50800,0.4581864261029457,0.6912873730336246,0.008651466135265493,-0.29084128943516957,0.3128458714534965
2026-04-29 00:00:00+05:30,26.85,41.0,26.85,41.0,31750,34925,0.43961065832977864,0.8503742885624164,0.005705784253866534,-0.22022062633810627,0.21600932717516869
2026-04-30 00:00:00+05:30,41.0,41.0,41.0,41.0,0,34925,0.6006322808690163,0.7651850365897677,0.005693467749183738,-0.35725043390578054,0.27590858109785943
2026-05-04 00:00:00+05:30,31.45,31.45,31.45,31.45,3175,34925,0.4713289247696838,0.781647702815657,0.007715888335000409,-0.29637733284629286,0.23899784262001922
2026-05-05 00:00:00+05:30,31.45,31.45,31.45,31.45,0,34925,,,,,
2026-05-06 00:00:00+05:30,31.45,31.45,31.45,31.45,0,34925,,,,,
2026-05-07 00:00:00+05:30,30.0,30.0,30.0,30.0,9525,34925,,,,,
2026-05-08 00:00:00+05:30,30.0,30.0,30.0,30.0,0,34925,,,,,
2026-05-11 00:00:00+05:30,30.0,30.0,30.0,30.0,0,34925,,,,,
2026-05-12 00:00:00+05:30,25.7,25.7,24.0,24.0,19050,44450,,,,,
2026-05-13 00:00:00+05:30,24.0,24.0,24.0,24.0,0,44450,,,,,
2026-05-14 00:00:00+05:30,24.0,24.0,24.0,24.0,0,44450,,,,,
2026-05-15 00:00:00+05:30,24.0,24.0,24.0,24.0,0,44450,,,,,
