date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-30 00:00:00+05:30,195.4,195.4,195.4,195.4,0,0,0.835149816525675,-0.5897040803419658,0.0012191535945828057,-2.199582745919113,1.4847767556261582
2026-05-04 00:00:00+05:30,195.4,195.4,195.4,195.4,0,0,,,,,
2026-05-05 00:00:00+05:30,81.8,99.7,81.8,88.5,58500,40000,,,,,
2026-05-06 00:00:00+05:30,81.0,113.4,81.0,105.65,44000,60500,,,,,
2026-05-07 00:00:00+05:30,105.65,105.65,105.65,105.65,0,60500,,,,,
2026-05-08 00:00:00+05:30,105.65,105.65,105.65,105.65,0,60500,,,,,
2026-05-11 00:00:00+05:30,105.65,105.65,105.65,105.65,0,60500,,,,,
2026-05-12 00:00:00+05:30,166.75,167.5,155.0,155.0,6000,60500,,,,,
2026-05-13 00:00:00+05:30,155.0,155.0,155.0,155.0,0,60500,,,,,
2026-05-14 00:00:00+05:30,155.0,155.0,155.0,155.0,0,60500,,,,,
2026-05-15 00:00:00+05:30,202.5,202.5,202.5,202.5,1000,59500,,,,,
