date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,17.9,17.9,17.9,17.9,0,159800,,,,,
2026-04-28 00:00:00+05:30,30.0,30.0,27.65,27.65,23500,141000,0.46113925341751544,0.8972836505243961,0.00754813584350309,-0.1005044130950372,0.09200963246065508
2026-04-29 00:00:00+05:30,27.65,27.65,27.65,27.65,0,141000,0.412990101327223,0.9260709372406078,0.006695710826398812,-0.07999272613033948,0.07088918312142976
2026-04-30 00:00:00+05:30,23.51,26.61,21.46,26.61,155100,159800,0.46890803417115917,0.8931054429268523,0.00797232384778948,-0.10646985780231458,0.09076336375429712
2026-05-04 00:00:00+05:30,28.47,28.47,28.47,28.47,4700,159800,0.5781378231255369,0.8780090687924906,0.007659257229173553,-0.14555736622499024,0.09248556105073999
2026-05-05 00:00:00+05:30,28.06,30.1,28.06,28.54,47000,164500,,,,,
2026-05-06 00:00:00+05:30,28.54,28.54,28.54,28.54,0,164500,,,,,
2026-05-07 00:00:00+05:30,28.46,28.46,28.4,28.4,28200,164500,,,,,
2026-05-08 00:00:00+05:30,28.4,28.4,28.4,28.4,0,164500,,,,,
2026-05-11 00:00:00+05:30,24.18,24.18,24.18,24.18,4700,164500,,,,,
2026-05-12 00:00:00+05:30,24.18,24.18,24.18,24.18,0,164500,,,,,
2026-05-13 00:00:00+05:30,40.0,40.0,40.0,40.0,4700,159800,,,,,
2026-05-14 00:00:00+05:30,40.0,40.0,40.0,40.0,0,159800,,,,,
2026-05-15 00:00:00+05:30,40.0,40.0,40.0,40.0,0,159800,,,,,
