date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.5,6.5,6.5,6.5,8600,8600,0.28451045482032417,-0.5975549026688018,0.0336480331090903,-0.06030677593739933,0.15640885930039045
2026-04-28 00:00:00+05:30,9.4,9.4,6.45,8.1,38700,17200,0.3901105132309521,-0.5648634917870187,0.025413844233353175,-0.09302433982264895,0.15630726702273834
2026-04-29 00:00:00+05:30,8.1,8.1,8.1,8.1,0,17200,0.3016796157724593,-0.6707090521546045,0.03125606103438097,-0.059275912044475104,0.13884926309004195
2026-04-30 00:00:00+05:30,8.9,8.9,7.97,8.15,12900,21500,0.4508258737326595,-0.5262363940785841,0.022878215270616353,-0.11819962090990742,0.15364134873057586
2026-05-04 00:00:00+05:30,5.25,5.55,4.93,5.11,210700,129000,0.35409855513641664,-0.4837025096383857,0.031215204241091532,-0.1021218162212512,0.14374892764004843
2026-05-05 00:00:00+05:30,5.21,5.21,4.8,4.8,30100,154800,,,,,
2026-05-06 00:00:00+05:30,4.92,4.92,4.0,4.07,43000,167700,,,,,
2026-05-07 00:00:00+05:30,4.57,4.6,3.0,3.14,51600,167700,,,,,
2026-05-08 00:00:00+05:30,4.12,4.89,4.12,4.63,124700,172000,,,,,
2026-05-11 00:00:00+05:30,5.23,6.11,5.23,6.06,43000,163400,,,,,
2026-05-12 00:00:00+05:30,7.6,9.5,7.6,9.15,55900,141900,,,,,
2026-05-13 00:00:00+05:30,9.15,9.15,9.15,9.15,0,141900,,,,,
2026-05-14 00:00:00+05:30,9.85,9.85,5.01,6.47,206400,146200,,,,,
2026-05-15 00:00:00+05:30,8.17,8.17,7.2,8.1,34400,176300,,,,,
