date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,68.0,68.0,44.0,45.15,198000,188250,0.27939148981259276,-0.4156129230087523,0.0027277731192405837,-0.8188902766805026,1.9955895197039015
2026-04-28 00:00:00+05:30,46.85,48.45,40.3,45.85,171750,169125,0.2718158649999092,-0.43447867629731274,0.0028908235376826213,-0.8086512632530666,1.9710721203206911
2026-04-29 00:00:00+05:30,46.55,46.65,33.5,41.0,276750,203250,0.26822934262198056,-0.4109115707423593,0.0029355667467638263,-0.8141492456461762,1.9213057704126704
2026-04-30 00:00:00+05:30,50.95,55.65,35.45,37.2,216375,243375,0.2584345514147179,-0.3998064536443463,0.0030788875532474745,-0.7959118096609513,1.8753843425883328
2026-05-04 00:00:00+05:30,32.05,37.9,25.7,32.15,202875,258750,,,,,
2026-05-05 00:00:00+05:30,33.5,39.95,26.45,29.15,401625,238500,,,,,
2026-05-06 00:00:00+05:30,23.0,24.8,14.2,15.55,323250,235125,,,,,
2026-05-07 00:00:00+05:30,13.15,15.5,11.0,11.55,183375,209625,,,,,
2026-05-08 00:00:00+05:30,11.95,12.75,9.7,10.9,93750,192000,,,,,
2026-05-11 00:00:00+05:30,10.85,11.65,7.4,8.1,171000,165000,,,,,
2026-05-12 00:00:00+05:30,10.65,21.5,10.65,18.6,255750,142125,,,,,
2026-05-13 00:00:00+05:30,17.55,21.5,13.05,15.9,201000,135375,,,,,
2026-05-14 00:00:00+05:30,13.05,19.65,7.75,8.15,258750,138375,,,,,
2026-05-15 00:00:00+05:30,8.15,9.0,5.9,8.1,171000,109125,,,,,
