date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,43.1,55.0,22.0,23.75,975975,372900,0.39483802328003054,0.34669672232286586,0.0034028067032925175,-0.746264787021726,1.0140485685931762
2026-04-28 00:00:00+05:30,22.75,23.5,14.5,15.05,329175,380325,0.378876220494754,0.2617534124508758,0.0032538606195265745,-0.6231668603602761,0.8593599088879905
2026-04-29 00:00:00+05:30,16.45,18.95,14.05,14.55,429825,396825,0.3692613922284617,0.26257759687896143,0.003392517316338102,-0.6223208847122561,0.8484272287896635
2026-04-30 00:00:00+05:30,9.1,10.85,8.4,10.5,566775,514800,0.38312945497518575,0.20457889756915704,0.002960681437395428,-0.5553539469500437,0.7099393908196217
2026-05-04 00:00:00+05:30,11.85,16.5,11.2,13.0,402600,479325,,,,,
2026-05-05 00:00:00+05:30,10.3,13.85,8.9,13.2,346500,495000,,,,,
2026-05-06 00:00:00+05:30,18.0,25.7,15.4,24.95,1156650,326700,,,,,
2026-05-07 00:00:00+05:30,26.1,31.0,22.2,25.0,1288650,519750,,,,,
2026-05-08 00:00:00+05:30,21.0,23.8,19.75,21.6,584100,552750,,,,,
2026-05-11 00:00:00+05:30,10.6,15.0,9.95,10.85,546975,515625,,,,,
2026-05-12 00:00:00+05:30,10.1,10.1,3.25,3.65,717750,620400,,,,,
2026-05-13 00:00:00+05:30,3.0,4.0,2.6,3.2,365475,684750,,,,,
2026-05-14 00:00:00+05:30,3.0,4.6,1.9,3.75,607200,740850,,,,,
2026-05-15 00:00:00+05:30,3.8,4.35,2.7,2.8,405900,650925,,,,,
