date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,35.0,46.4,35.0,38.65,966900,272250,0.39726940599351773,-0.4424279608267351,0.0036171767586863457,-0.6591987283802596,1.0845694332675953
2026-04-28 00:00:00+05:30,38.7,46.5,35.7,43.7,575850,278025,0.35334929751572713,-0.5311264065263731,0.00426326046126922,-0.5646396982480668,1.050086060523622
2026-04-29 00:00:00+05:30,38.55,42.15,30.9,41.1,801900,397650,0.35201474297104046,-0.5177371671610813,0.004350512054606008,-0.5805843988661993,1.0371936549858742
2026-04-30 00:00:00+05:30,51.0,62.8,51.0,54.65,146025,351450,0.38473661372541573,-0.5936753849661289,0.004030014193301916,-0.6091516025528736,0.9704075009938342
2026-05-04 00:00:00+05:30,42.3,44.65,34.5,38.8,317625,363825,,,,,
2026-05-05 00:00:00+05:30,49.4,51.05,34.55,35.7,235950,385275,,,,,
2026-05-06 00:00:00+05:30,25.0,28.0,15.2,16.2,818400,376200,,,,,
2026-05-07 00:00:00+05:30,13.0,17.05,11.05,12.2,577500,361350,,,,,
2026-05-08 00:00:00+05:30,15.75,16.65,13.8,14.75,338250,302775,,,,,
2026-05-11 00:00:00+05:30,24.7,28.5,20.95,24.1,858000,288750,,,,,
2026-05-12 00:00:00+05:30,21.4,51.4,21.4,48.1,518925,312675,,,,,
2026-05-13 00:00:00+05:30,50.0,59.55,48.5,56.25,70125,308550,,,,,
2026-05-14 00:00:00+05:30,58.75,69.75,40.85,43.0,82500,289575,,,,,
2026-05-15 00:00:00+05:30,41.0,45.0,36.5,42.5,38775,291225,,,,,
