date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,19.6,19.6,19.6,19.6,0,1225,0.4810023294637196,-0.3415166068237149,0.004598835865755738,-0.46575827911941214,0.6089961113228054
2026-04-28 00:00:00+05:30,19.6,19.6,19.6,19.6,0,1225,0.5446817234391342,-0.31078745852064116,0.003909693770933897,-0.5330985545166301,0.5857526951498884
2026-04-29 00:00:00+05:30,12.95,12.95,10.85,12.4,47775,13475,0.43020909053320416,-0.2712632062897786,0.004723087439043089,-0.39947787311097394,0.5405608218194603
2026-04-30 00:00:00+05:30,15.05,15.6,9.2,10.4,18375,18375,0.43619499302029185,-0.23655531561124699,0.004362702481152954,-0.391870882401218,0.4998639346916852
2026-05-04 00:00:00+05:30,12.0,18.3,12.0,15.35,117600,31850,0.3782794560751535,-0.38745585478325384,0.007165862625006356,-0.4227037890101403,0.5410360942120491
2026-05-05 00:00:00+05:30,16.3,16.9,12.9,14.05,211925,39200,,,,,
2026-05-06 00:00:00+05:30,13.4,14.05,8.9,10.3,69825,34300,,,,,
2026-05-07 00:00:00+05:30,10.15,11.95,9.95,11.25,26950,40425,,,,,
2026-05-08 00:00:00+05:30,9.1,10.65,9.1,10.45,4900,41650,,,,,
2026-05-11 00:00:00+05:30,14.3,15.1,4.65,6.3,205800,66150,,,,,
2026-05-12 00:00:00+05:30,5.7,8.65,4.7,8.45,104125,80850,,,,,
2026-05-13 00:00:00+05:30,7.7,9.75,5.2,6.45,58800,63700,,,,,
2026-05-14 00:00:00+05:30,5.3,8.25,5.3,6.0,74725,69825,,,,,
2026-05-15 00:00:00+05:30,6.0,6.0,6.0,6.0,0,69825,,,,,
