date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,9.55,15.0,6.8,7.05,89600,74200,0.3637797309672329,-0.08327022156161701,0.0008620177063202343,-0.4426276509294593,0.7486994419611902
2026-04-28 00:00:00+05:30,7.05,7.1,3.9,4.65,13300,72450,0.3486277485703078,-0.0613922511352154,0.0007188287418246432,-0.34546293378160015,0.5869316181333539
2026-04-29 00:00:00+05:30,4.45,4.45,1.85,2.0,11550,71750,0.327821498353336,-0.03135022839434831,0.0004449729062603712,-0.1969618020450742,0.3413872592873808
2026-04-30 00:00:00+05:30,2.5,2.5,1.35,1.5,9800,72450,0.343904894098668,-0.023377011864160857,0.0003328230179982816,-0.16852754694756156,0.26660798885331966
2026-05-04 00:00:00+05:30,1.2,1.25,1.2,1.25,2800,71400,,,,,
2026-05-05 00:00:00+05:30,1.25,1.25,1.25,1.25,0,71400,,,,,
2026-05-06 00:00:00+05:30,1.0,1.05,0.9,0.9,5600,71400,,,,,
2026-05-07 00:00:00+05:30,0.85,1.45,0.85,1.45,4200,71050,,,,,
2026-05-08 00:00:00+05:30,1.7,1.75,1.25,1.3,2800,71050,,,,,
2026-05-11 00:00:00+05:30,1.3,1.3,1.3,1.3,0,71050,,,,,
2026-05-12 00:00:00+05:30,1.3,1.3,0.8,0.8,1050,70700,,,,,
2026-05-13 00:00:00+05:30,1.2,1.2,1.2,1.2,2100,70700,,,,,
2026-05-14 00:00:00+05:30,0.75,1.05,0.35,1.0,4900,72100,,,,,
2026-05-15 00:00:00+05:30,0.65,0.75,0.45,0.55,12950,70350,,,,,
