date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,31.0,110.0,30.95,85.95,4409300,398300,0.32504078952015303,0.6236830819105317,0.0023901563850164402,-1.2167339263299541,1.8548850755080544
2026-04-28 00:00:00+05:30,76.1,99.95,70.65,87.7,787500,405300,0.29179344180465244,0.6706390223186913,0.002562556442914777,-1.105568054444522,1.7512537866544327
2026-04-29 00:00:00+05:30,92.4,111.0,84.05,98.5,248500,373800,0.2196825497258055,0.8072365233857159,0.0025761058740481624,-0.7769670914952336,1.324450032287542
2026-04-30 00:00:00+05:30,92.0,127.3,85.45,122.1,169050,327250,0.21290692165859423,0.8842969311002143,0.0018971943501240147,-0.6482433789886466,0.9408557673843967
2026-05-04 00:00:00+05:30,128.55,147.4,123.25,134.0,69650,327250,,,,,
2026-05-05 00:00:00+05:30,125.0,133.7,112.7,128.65,25200,322350,,,,,
2026-05-06 00:00:00+05:30,130.0,163.1,130.0,158.65,31150,327250,,,,,
2026-05-07 00:00:00+05:30,159.3,159.3,137.75,144.95,87500,306950,,,,,
2026-05-08 00:00:00+05:30,144.95,160.8,140.05,153.25,15400,306250,,,,,
2026-05-11 00:00:00+05:30,170.0,179.85,170.0,175.35,4900,305550,,,,,
2026-05-12 00:00:00+05:30,173.0,179.0,150.5,150.7,7700,305900,,,,,
2026-05-13 00:00:00+05:30,158.2,158.2,131.05,133.55,8050,300650,,,,,
2026-05-14 00:00:00+05:30,150.0,167.0,145.4,165.8,17500,292950,,,,,
2026-05-15 00:00:00+05:30,184.0,187.4,179.65,179.65,4550,292600,,,,,
