date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,108.3,108.3,101.05,104.0,1050,525,0.4251912140150365,-0.33317292218300065,0.000821477054310284,-2.536095868620197,3.7835749112202963
2026-04-28 00:00:00+05:30,99.8,99.8,76.15,81.25,1575,1575,0.31532343754892067,-0.3587058432416953,0.001177996645235606,-1.8699463157294238,3.7586616900094834
2026-04-29 00:00:00+05:30,68.55,79.55,62.3,73.35,9800,2275,0.3318954260995876,-0.32328720867519034,0.001084857021048667,-1.9774386512192095,3.5820986994838973
2026-04-30 00:00:00+05:30,104.4,104.4,82.0,88.85,3675,2975,0.3373513726593541,-0.37399618093586184,0.0011615870517269942,-2.1193873328306854,3.663156665893203
2026-05-04 00:00:00+05:30,68.4,85.7,57.45,71.55,13650,6125,0.3094147263495793,-0.36430701797431775,0.0013659716472620247,-2.1000947882537835,3.3385171845972113
2026-05-05 00:00:00+05:30,71.55,71.55,55.9,60.0,3150,6650,,,,,
2026-05-06 00:00:00+05:30,22.55,36.1,22.55,35.0,1400,6475,,,,,
2026-05-07 00:00:00+05:30,35.0,35.0,35.0,35.0,0,6475,,,,,
2026-05-08 00:00:00+05:30,35.0,35.0,35.0,35.0,0,6475,,,,,
2026-05-11 00:00:00+05:30,40.65,55.0,40.65,54.65,1225,5950,,,,,
2026-05-12 00:00:00+05:30,60.7,91.9,60.7,85.0,23100,11550,,,,,
2026-05-13 00:00:00+05:30,91.25,91.25,69.45,85.9,9800,12600,,,,,
2026-05-14 00:00:00+05:30,91.65,91.65,71.8,80.85,12425,18025,,,,,
2026-05-15 00:00:00+05:30,80.85,88.3,65.9,86.05,16800,16625,,,,,
