date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.87,4.0,1.87,3.56,14494150,5171325,0.4598569185785352,0.5916227366248928,0.052630067431698305,-0.05477676233483095,0.062322397554633424
2026-04-28 00:00:00+05:30,3.64,4.1,3.47,3.77,4756175,4900575,0.4648505777958931,0.6118172902339039,0.05192021241976433,-0.05606936422474298,0.0608313375910317
2026-04-29 00:00:00+05:30,4.05,4.12,3.13,3.33,4332000,5956500,0.45188136955846875,0.5860593752526466,0.0558033856255503,-0.05571350585402688,0.06020124367079795
2026-04-30 00:00:00+05:30,3.35,3.35,2.3,2.59,8176650,6687525,0.4507703294398916,0.51438471718327,0.0596229582412692,-0.05589710563398471,0.05914069320723681
2026-05-04 00:00:00+05:30,2.8,2.8,1.79,2.16,14782950,7878825,0.4703828469836814,0.4718337407358724,0.06269930733495725,-0.06163659055844181,0.05369544968602189
2026-05-05 00:00:00+05:30,2.0,2.71,1.93,2.04,16461600,8546675,,,,,
2026-05-06 00:00:00+05:30,2.22,2.22,1.4,1.8,11470775,8781325,,,,,
2026-05-07 00:00:00+05:30,1.8,2.39,1.5,2.25,16235975,7806625,,,,,
2026-05-08 00:00:00+05:30,2.18,2.31,1.73,1.83,12671100,9187450,,,,,
2026-05-11 00:00:00+05:30,1.39,1.61,1.09,1.16,9214525,8339100,,,,,
2026-05-12 00:00:00+05:30,1.12,1.33,0.62,0.64,11046600,8700100,,,,,
2026-05-13 00:00:00+05:30,0.64,1.17,0.64,0.99,10947325,7815650,,,,,
2026-05-14 00:00:00+05:30,1.15,1.21,0.8,1.03,9304775,7373425,,,,,
2026-05-15 00:00:00+05:30,1.05,1.33,0.9,1.03,10360700,7445625,,,,,
