date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.83,4.83,3.89,3.98,740050,460275,0.46413360237619034,-0.5667504289204166,0.052812500965790106,-0.04405596229315535,0.06312003731420933
2026-04-28 00:00:00+05:30,3.94,3.94,3.49,3.63,415150,640775,0.4501976622185922,-0.5514557875740966,0.055352269322099926,-0.04421750924735966,0.06280817819621137
2026-04-29 00:00:00+05:30,3.7,3.98,3.2,3.88,965675,1028850,0.4510030651053579,-0.5823209733319599,0.05602612720801431,-0.04379989251484502,0.06032406159267012
2026-04-30 00:00:00+05:30,4.22,5.14,4.22,4.68,794200,965675,0.46585644910798757,-0.6483470578025388,0.05369090708158476,-0.04205756518350905,0.055038985682921426
2026-05-04 00:00:00+05:30,4.7,5.62,4.7,5.13,532475,1092025,0.507988044224832,-0.6825993620032521,0.05199424014471943,-0.047923438531574915,0.048087476959605045
2026-05-05 00:00:00+05:30,5.13,5.13,5.13,5.13,0,1092025,,,,,
2026-05-06 00:00:00+05:30,6.2,6.24,5.15,5.15,288800,1281550,,,,,
2026-05-07 00:00:00+05:30,4.43,4.43,4.25,4.25,54150,1272525,,,,,
2026-05-08 00:00:00+05:30,4.34,4.9,4.25,4.81,315875,1209350,,,,,
2026-05-11 00:00:00+05:30,5.85,6.07,5.73,6.0,90250,1155200,,,,,
2026-05-12 00:00:00+05:30,7.03,7.71,7.03,7.55,45125,1128125,,,,,
2026-05-13 00:00:00+05:30,7.55,7.55,7.55,7.55,0,1128125,,,,,
2026-05-14 00:00:00+05:30,7.55,7.55,7.55,7.55,0,1128125,,,,,
2026-05-15 00:00:00+05:30,6.17,6.17,5.15,5.54,397100,1119100,,,,,
