date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,18.25,31.45,18.25,30.45,64350,37400,0.2941246036433988,-0.4155168940263212,0.004053166498597215,-0.5555861350202864,1.2756197136981837
2026-04-28 00:00:00+05:30,34.05,35.85,30.9,35.05,129800,75350,0.2901814561047134,-0.46918566123745964,0.004312025839967523,-0.5530345939501339,1.264366383623357
2026-04-29 00:00:00+05:30,33.9,34.05,23.45,24.75,131450,79200,0.28119159489787277,-0.38049301587623685,0.004264194120339534,-0.5465426393860999,1.2100293020062158
2026-04-30 00:00:00+05:30,31.0,36.3,30.5,33.6,68200,75900,0.27539068235420283,-0.48575745299319883,0.004739035464790339,-0.5400229293032168,1.2179435717254408
2026-05-04 00:00:00+05:30,33.6,33.6,21.2,26.05,151250,112200,,,,,
2026-05-05 00:00:00+05:30,27.1,29.9,24.15,26.75,88000,111100,,,,,
2026-05-06 00:00:00+05:30,20.8,33.45,20.8,25.95,194150,102300,,,,,
2026-05-07 00:00:00+05:30,30.15,36.0,24.9,28.5,302500,118800,,,,,
2026-05-08 00:00:00+05:30,23.0,27.95,16.5,20.65,985050,256300,,,,,
2026-05-11 00:00:00+05:30,6.95,9.4,2.7,3.0,1989900,357500,,,,,
2026-05-12 00:00:00+05:30,3.0,3.0,2.05,2.15,251900,314050,,,,,
2026-05-13 00:00:00+05:30,1.7,2.5,1.7,2.45,137500,293150,,,,,
2026-05-14 00:00:00+05:30,1.65,2.6,1.55,2.25,220550,317900,,,,,
2026-05-15 00:00:00+05:30,2.0,2.3,1.2,1.9,97900,303050,,,,,
