date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.0,4.0,3.15,3.15,1100,1100,0.2960980910465748,0.0750212750669531,0.0014617972392570633,-0.25138589598395256,0.4631462669016782
2026-04-28 00:00:00+05:30,3.15,3.15,3.15,3.15,0,1100,0.32276407874632373,0.07157553938843818,0.0013312306818880073,-0.26430851005885525,0.4341706319882625
2026-04-29 00:00:00+05:30,2.4,2.5,2.05,2.2,29700,20900,0.27236708873245047,0.060626299648908165,0.0013880090091056574,-0.20464476234335113,0.3815078679929095
2026-04-30 00:00:00+05:30,1.55,1.65,1.4,1.4,5500,20900,0.2894023665494328,0.040290535439474424,0.0009804658433285756,-0.1553373490231692,0.26480276373958456
2026-05-04 00:00:00+05:30,1.75,1.8,1.4,1.4,3850,22000,,,,,
2026-05-05 00:00:00+05:30,1.0,1.25,0.8,0.8,3300,24200,,,,,
2026-05-06 00:00:00+05:30,0.6,0.7,0.6,0.6,2200,23650,,,,,
2026-05-07 00:00:00+05:30,0.9,1.4,0.7,1.4,6050,22550,,,,,
2026-05-08 00:00:00+05:30,1.75,4.65,1.2,3.25,247500,97350,,,,,
2026-05-11 00:00:00+05:30,3.5,14.25,3.25,12.35,4312000,321200,,,,,
2026-05-12 00:00:00+05:30,12.0,14.7,6.65,7.05,1215500,421300,,,,,
2026-05-13 00:00:00+05:30,7.35,8.65,3.45,3.6,762850,741950,,,,,
2026-05-14 00:00:00+05:30,4.6,5.1,2.5,2.7,772200,1087350,,,,,
2026-05-15 00:00:00+05:30,2.65,4.75,2.35,2.55,400950,944350,,,,,
