date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,26.1,26.1,19.65,19.65,7900,10300,0.3931891648750668,0.09456086747318176,0.00036284235876885403,-1.4152441720089899,1.9887636339041022
2026-04-28 00:00:00+05:30,18.0,19.1,13.3,15.2,4400,10600,0.402838332311781,0.07660470643423874,0.00031206678704722525,-1.2378500274675983,1.6461903191556742
2026-04-29 00:00:00+05:30,15.2,16.75,13.8,14.25,8100,14100,0.39671161325536114,0.07426560616060286,0.00031388747673723584,-1.2168874115233812,1.5851890140859601
2026-04-30 00:00:00+05:30,15.0,15.75,11.9,13.95,1500,14400,0.41147176956588,0.07216391316996637,0.0003030444056462493,-1.249378052026973,1.514976411348835
2026-05-04 00:00:00+05:30,13.0,13.2,10.0,10.3,900,14300,0.3963690576980536,0.060880382587442314,0.000296305575827981,-1.1569921102509375,1.2360947754740528
2026-05-05 00:00:00+05:30,11.0,11.65,10.15,11.0,8200,19100,,,,,
2026-05-06 00:00:00+05:30,14.45,16.9,10.15,11.9,14300,21800,,,,,
2026-05-07 00:00:00+05:30,11.9,12.05,9.95,11.1,5000,23100,,,,,
2026-05-08 00:00:00+05:30,10.25,15.1,10.25,13.2,7300,23400,,,,,
2026-05-11 00:00:00+05:30,11.05,11.05,8.05,8.05,4200,23100,,,,,
2026-05-12 00:00:00+05:30,8.0,8.0,4.05,4.2,11200,23300,,,,,
2026-05-13 00:00:00+05:30,3.75,3.75,2.75,3.45,4100,20800,,,,,
2026-05-14 00:00:00+05:30,2.5,3.6,2.5,2.95,4700,22100,,,,,
2026-05-15 00:00:00+05:30,3.15,4.75,3.15,3.3,23900,25100,,,,,
