date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.23,4.35,3.8,4.02,671000,583000,0.2928266360077104,-0.33136963808294884,0.02060691082406333,-0.09679462047875713,0.2180660924041063
2026-04-28 00:00:00+05:30,3.85,3.85,2.91,3.4,1930500,1039500,0.29440325650490234,-0.29452273853109157,0.01966182103044033,-0.09607583421765445,0.20535742447452962
2026-04-29 00:00:00+05:30,3.57,4.81,2.43,2.72,2997500,1336500,0.27654008595346125,-0.2650270091910686,0.02017370023363882,-0.08781944056574507,0.19232660935603402
2026-04-30 00:00:00+05:30,3.3,5.15,3.3,4.52,2653750,1496000,0.2991504022388362,-0.37116747649880566,0.02239685674341427,-0.10788058376600429,0.21320763231839931
2026-05-04 00:00:00+05:30,3.7,4.3,3.27,3.94,1278750,1702250,,,,,
2026-05-05 00:00:00+05:30,4.5,4.86,3.6,3.76,2835250,1661000,,,,,
2026-05-06 00:00:00+05:30,2.79,3.27,2.12,2.33,2519000,1779250,,,,,
2026-05-07 00:00:00+05:30,2.3,2.4,1.62,2.08,3305500,2345750,,,,,
2026-05-08 00:00:00+05:30,2.52,2.88,2.13,2.69,2241250,1988250,,,,,
2026-05-11 00:00:00+05:30,2.77,3.46,2.7,3.32,3242250,1963500,,,,,
2026-05-12 00:00:00+05:30,3.0,3.63,2.22,3.44,3830750,1581250,,,,,
2026-05-13 00:00:00+05:30,2.5,2.83,1.32,1.51,5062750,1834250,,,,,
2026-05-14 00:00:00+05:30,1.36,1.56,0.85,0.97,2472250,1567500,,,,,
2026-05-15 00:00:00+05:30,1.0,1.58,0.72,1.33,3924250,1350250,,,,,
