date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,5.51,5.69,4.51,4.91,8437000,5170000,0.28940175247927963,-0.3845656293399845,0.021964411102294315,-0.09913948380368989,0.22971290376793893
2026-04-28 00:00:00+05:30,5.01,5.01,3.54,4.18,11170500,6369000,0.29025404033899227,-0.345384474879492,0.021320397622119847,-0.09981956529452221,0.21954200920066477
2026-04-29 00:00:00+05:30,4.2,5.9,3.05,3.51,22228250,11459250,0.27644707954887837,-0.3195970641600735,0.022020224534885988,-0.09452369588307977,0.20985990303089128
2026-04-30 00:00:00+05:30,3.89,6.26,3.89,5.55,14168000,10881750,0.29722069122582484,-0.42880883812009984,0.02341416357102145,-0.10944987505875202,0.2214541238094943
2026-05-04 00:00:00+05:30,4.46,5.31,4.1,4.85,5016000,11049500,,,,,
2026-05-05 00:00:00+05:30,5.5,6.0,4.45,4.68,6723750,11728750,,,,,
2026-05-06 00:00:00+05:30,4.0,4.16,2.7,3.0,10461000,12941500,,,,,
2026-05-07 00:00:00+05:30,2.6,2.92,2.06,2.71,11217250,14242250,,,,,
2026-05-08 00:00:00+05:30,2.96,3.7,2.69,3.5,11860750,14514500,,,,,
2026-05-11 00:00:00+05:30,4.01,4.45,3.49,4.27,8962250,14132250,,,,,
2026-05-12 00:00:00+05:30,4.11,4.65,2.9,4.44,13376000,14044250,,,,,
2026-05-13 00:00:00+05:30,4.44,4.44,1.68,2.0,17899750,14324750,,,,,
2026-05-14 00:00:00+05:30,1.89,2.08,1.16,1.31,12402500,14855500,,,,,
2026-05-15 00:00:00+05:30,1.25,2.25,0.97,1.88,20638750,14203750,,,,,
