date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,105.95,106.85,86.7,93.95,137025,203175,0.3419895208870623,-0.48032016884182105,0.0016887890701540304,-1.3948206284158187,2.7489967779771205
2026-04-28 00:00:00+05:30,85.4,102.45,73.65,97.4,285250,210875,0.3547907495035711,-0.48548734356890333,0.001659556849039432,-1.4815654698149034,2.699483851482364
2026-04-29 00:00:00+05:30,88.1,91.75,66.8,78.55,407575,269500,0.34155478762736374,-0.4355183795769595,0.0017126507163763287,-1.4702245653219965,2.649995852274403
2026-04-30 00:00:00+05:30,78.85,100.15,68.9,78.1,649425,286825,0.34419575932653446,-0.43735870136099075,0.001733740018286888,-1.5154231077535438,2.601562439155028
2026-05-04 00:00:00+05:30,66.85,91.9,62.85,83.9,467950,292950,,,,,
2026-05-05 00:00:00+05:30,98.85,98.85,69.45,82.75,185500,280875,,,,,
2026-05-06 00:00:00+05:30,77.95,104.0,65.4,85.45,309050,325675,,,,,
2026-05-07 00:00:00+05:30,87.95,120.0,86.35,116.0,96775,333550,,,,,
2026-05-08 00:00:00+05:30,109.1,129.25,103.25,109.0,53200,326375,,,,,
2026-05-11 00:00:00+05:30,114.5,121.5,95.0,110.05,27650,325325,,,,,
2026-05-12 00:00:00+05:30,120.0,216.0,120.0,200.9,90650,296450,,,,,
2026-05-13 00:00:00+05:30,192.4,229.15,192.4,227.15,21700,283500,,,,,
2026-05-14 00:00:00+05:30,277.65,278.0,232.0,241.75,16100,283150,,,,,
2026-05-15 00:00:00+05:30,207.15,218.95,197.6,218.95,3150,282625,,,,,
