date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,44.05,55.7,44.05,50.1,163450,110425,0.21497874523642518,0.4595787508242046,0.0026759909769167875,-1.2063209622682802,2.738206461315554
2026-04-28 00:00:00+05:30,55.6,60.0,41.4,45.55,363475,133875,0.2074335355946638,0.4466961498866138,0.002814965574695596,-1.1780129335909397,2.677123274252576
2026-04-29 00:00:00+05:30,49.95,60.35,45.75,52.25,645575,165725,0.18230502966248338,0.5313313791700067,0.0032412408114695073,-1.1285666247920532,2.67686189533666
2026-04-30 00:00:00+05:30,52.75,58.3,40.1,51.7,733425,220675,0.18614862130340834,0.527293059868892,0.0032382466991563025,-1.1638390921781991,2.627934401751483
2026-05-04 00:00:00+05:30,55.85,58.2,37.0,39.15,552125,309050,,,,,
2026-05-05 00:00:00+05:30,34.85,48.0,33.25,35.3,359975,313775,,,,,
2026-05-06 00:00:00+05:30,37.15,42.9,24.65,31.8,749175,351750,,,,,
2026-05-07 00:00:00+05:30,31.0,31.0,20.05,20.9,521150,407225,,,,,
2026-05-08 00:00:00+05:30,20.9,23.5,17.15,20.6,764050,402500,,,,,
2026-05-11 00:00:00+05:30,16.0,23.35,16.0,18.45,432250,395150,,,,,
2026-05-12 00:00:00+05:30,14.3,15.0,6.3,6.65,616000,401450,,,,,
2026-05-13 00:00:00+05:30,6.6,6.85,4.75,4.95,244125,442225,,,,,
2026-05-14 00:00:00+05:30,2.85,4.95,2.8,3.45,379400,458500,,,,,
2026-05-15 00:00:00+05:30,3.5,5.25,3.3,3.45,285425,436275,,,,,
