date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,10.35,10.35,10.35,10.35,0,0,0.42803564311451486,0.12929990192169716,0.0012512082815898783,-0.6423714611525692,0.8293688746408181
2026-04-28 00:00:00+05:30,10.35,10.35,10.35,10.35,0,0,0.41694913035621145,0.13285679240956427,0.0013206004566748701,-0.6550366835766792,0.8375035938548092
2026-04-29 00:00:00+05:30,5.75,5.75,4.2,4.5,9600,5400,0.26878617284109774,0.093078119552501,0.0015600877821125634,-0.3524189923320959,0.6610184440748003
2026-04-30 00:00:00+05:30,5.15,7.0,5.15,5.95,350400,253200,0.2745558164370488,0.11629956956494442,0.0018120771684350069,-0.43572850647271233,0.7694636370158598
2026-05-04 00:00:00+05:30,6.9,7.25,3.5,3.75,73200,252600,,,,,
2026-05-05 00:00:00+05:30,3.5,4.8,2.35,2.5,37200,255000,,,,,
2026-05-06 00:00:00+05:30,3.05,3.95,2.4,2.75,20400,255000,,,,,
2026-05-07 00:00:00+05:30,2.5,3.0,1.8,1.8,12600,255600,,,,,
2026-05-08 00:00:00+05:30,2.65,2.65,1.9,2.25,51600,256800,,,,,
2026-05-11 00:00:00+05:30,2.05,2.75,1.5,1.55,16200,258600,,,,,
2026-05-12 00:00:00+05:30,1.05,1.05,0.5,0.7,64200,245400,,,,,
2026-05-13 00:00:00+05:30,0.5,0.7,0.5,0.5,10200,246000,,,,,
2026-05-14 00:00:00+05:30,0.6,1.0,0.4,0.95,6600,246600,,,,,
2026-05-15 00:00:00+05:30,0.4,0.55,0.4,0.55,3000,246000,,,,,
